"Ref","OND_Node_Title","tlahtolli","IDIEZ gramática","IDIEZ def. náhuatl","IDIEZ def. español","SShort_IDIEZ","IDIEZ traduc. inglés","IDIEZ morfología","Credit"
"WHP-204460","ticah.","ticah.","tlatzompepecholli.","Mopepechhuilia campa tlami ce tlachihualiztlahtolli iyollo tlempanotoc. Zan motequihuia ica tlempano, -ticah/-ticateh; tlempanozquia, -ticazquia/-ticazquiah. 1. Cenyahtoc mochihua ce tlamantli. “Ninehnenticah chicahuac pampa niihcihui. ” “Tinehnenticateh huan timotlalticateh chicahuac para axcanah titlayohuilizceh. ” 2. Mochihua ce tlamantli cenyahtoc huan tlahuel chicahuac. “Monica iconeuh chocaticah pampa axcanah quinahuah. ”","vive, está. 1. pegar en un significado compuesto una terminación con un complemento-t(i)-. Solo se utiliza de lo que pasa, - dejenlo (uno) dejemolos (muchos); y lo que hubiera pasar, ","","auxiliary verb construction: 1. to be doing s.t. (progressive tense). 2. to be doing s.t. intensely.","ti3, cah.","IDIEZ"
"WHP-204461","pīhuiliā.","pīhuiliā.","tlach3.","1. nic. Macehualli quitlalhuilia achiyoc ce tlamantli para ma miac eli. “Notatah quipihuilia zoquitl tocaltepan para ayoccanah ma tlatlanezto. ” 2. nic. Macehualli quimaca ce tlamantli ce acahya para ma quimiaquili tlen quipixtocca. “Nototatah quipihuilia tlalli notatah para ma tlahueyiya ichan. ” ","# 1. nic. Una persona le coloca algo una cosa para así nos va a ayudar más. “Mi papá le agrega de lodo mi patio para que así no se vea de día”. 2. Una persona le da una cosa a alguien para que se haga mucho de lo que ya tiene. “Mi abuelo le da un poco más de tierra mi papá para que se haga grande su casa”.","","1. to add to s.t. 2. to add to s.o.’s property.","pīhuiā, liā2.","IDIEZ"
"WHP-204462","huēxtic.","huēxtic.","quen.","ni. Macehualli, tecuani zo tlapiyalli tlen mozcaltia huahcapantic. “Quemman nechpaxaloco notioconeuh, tlahuel cuecuetztzin eliyaya, huan naman huextic. ”","# Una persona, un animal silvestre y un animal domestico que crece muy rápido y luego luego se hace alto. “Cuando me vino a visitar mi ahijado, estaba muy chiquito, y ahora está muy grande”.","","grown person or animal.","huēyi, ti1, cā.","IDIEZ"
"WHP-204463","ihyōhuiā.","ihyōhuiā.","tlach3.","1. niqu. Macehualli zo tlapiyalli quixicoa ce tequitl. “Juan quena quiihyohuia millah quemman tlamehua. ” 2. niqu. Macehualli quixicoa ceyoc meuhcatzan tlahuel tecuatotonia. “Gloria axcanah quiihyohuia Isabel pampa tlahuel quiihtoa tlahtolli tlen axcualli. ”","# 1. niqu. Una persona y un animal domestico aguanta un trabajo. “Juan si aguanta en la milpa para escardar”. 2. niqu. Una persona aguanta a otro aunque molesta mucho. “Gloria no aguanta a Isabel porque dice muchas cosas que no debe”. 3. nitla. Una persona no aguanta como vive porque no tiene nada y muy pobre. “Los hijos de Santos sufren mucho porque no tienen que comer”.","","1. to withstand a difficult activity. 2. to put up with an irritating person.","ihyōtl, huiā1.","IDIEZ"
"WHP-204464","cihuāmpohtli.","cihuāmpohtli.","tlat.","no. Macehualli cihuatl tlen huanya momati ceyoc cihuatl. ""Maria nochipa huanya nemi ce icihuampoh Martha quemman yohui pan ce tlaixpiyalli. ”  ","","","s.o.’s female friend.","cihuātl huān, pohtli.","IDIEZ"
"WHP-204465","yahualtzacua.","yahualtzacua.","tlach2.","nimo. Macehualli quitzacua yahualtic ichan ica cuahuitl zo alampreh. “Notlayi moyahualtzacua pampa miaquin panoh icalixpan. ”","# Nimo. Una persona cierra alrededor su casa o su tierra con palo o alambre. “Mi tío cerca su casa porque pasan muchos enfrente de su casa”.","","to fence a piece of land.","yahualli, tzacua.","IDIEZ"
"WHP-204467","cualtlāliā.","cualtlāliā.","tlach3.","1. nimo. Macehualli, tecuani zo tlapiyalli poliuhtiyohua icocoliz. “Nimocualtlalia quemman nionmopahtia caltepahtihquetl. ” 2. nimo. Macehualli cihuatl conepiya. “Maria inanan mocualtlalqui quemman axcanah itztoya itatah, huan quemman ahcico itztoyaya conetzin. ” 3. nic. Macehualli tequiti pan ce tlamantli tlen ihtlacauhtoc para hueliz motequihuiz. “Nototatah quicualtlalia cuaciyah tlen quicuamahcauhtoyaya pampa axquipiya tomin tlen ica quicohuaz ceyoc. ”","	A. 1. Persona lastimada una parte del cuerpo o hueso y otra va sobar para acomodar  bien. “Tereso acomoda a todos los enfermos o personas que se han fracturado.” 2. persona mujer que tiene su hijo. (Solo se utiliza del pasado.) “La mama de María se alivio cuando su papa no estaba y cuando llego ya estaba el bebe.” 3. Persona que trabaja en una cosa descompuesta y lo arregla para poder ocuparlo. “Tomas arregla un carro que ya no servia.” 	B. Arreglar, acomodar y aliviar. ","","1. to recover from an illness. 2. to give birth. 3. to fix s.t. broken.","cualli, tlāliā.","IDIEZ"
"WHP-204468","tzompolihui.","tzompolihui.","tlach2.","ni. Macehualli zo tlamantli nelcalaqui campa ahuahcatlan. “Quemman tiyahqueh timaltitoh pan ce hueyi atl, nomimi Victor nechnahuatih ma nicmahcahuili ixapoh; ya axcanah huelqui quiitzquia, huan tzompoliuhqui pan atl. ”","","","for s.o. or s.t. to become submerged in water.","tzontli, polihui.","IDIEZ"
"WHP-204469","tzompolihuīltiā.","tzompolihuīltiā.","tlach3.","nic. Macehualli quichihua ma nelcalaqui ce acahya zo ce tlamantli campa ahuahcatlan. “Jose quintzonpolihuiltia iconehuan quemman quinahaltia. ”","","","to submerge s.o. or s.t. in water.","tzompolihui, ltiā1.","IDIEZ"
"WHP-204471","huazāniā.","huazāniā.","tlach3.","1. nic. Macehualli, tecuani zo tlapiyalli quihuahuatzoa ceyoc zo ce tlamantli ica iizti huan quilichinia. “Sara quemman mahuiltia huanya ichocho nochipa quihuazania pan iahcol. ” 2. Ce tlamantli yacahuitztic huan huichintoc quicuitiquiza macehualli, tecuani zo tlapiyalli huan quitequi quentzin. “Joaquin quemman yahqui millah quipanhuazanih alampreh pampa axcanah quiittac tlan huichintoya. ” 3. nic. Macehualli quiixcuicuiloa ce tlamantli ica ce tlenhueli tlen tlapa. “Ne conetzin zan quihuazania amatl pampa ayicanah hueli tlahcuiloa. ” 4. nitla. macehualli quitlalia itocah pan ce amatl. “Ines tlahuazanih pan iconeuh iboletah tlen escuela. ”","	A. 1.  nic. Una persona pinta  una cosa. “Aquel bebé nadamás lo raya el papel porque todavía no sabe escribir”. 2. nitla. Firmar el papel. “Inés firmó la boleta de la escuela de su hijo”. 	B. 1. razar algo. 2. firmar ","","1. to scratch s.t. or s.t. 2. for s.t. sharp and portruding to scratch s.o. or s.t. as they pass by. 3. to scribble on s.t. 4. to sign s.t.","huazāni, iā1.","IDIEZ"
"WHP-204472","ōmpa.","ōmpa.","tlap.","Ome huelta mochihua ce tlamantli. “Sandra ompa quitlacotonilqui tepahtihquetl pampa tlahuel quipiyaya tlen axcualli. ”","","","twice.","ōme, pa1.","IDIEZ"
"WHP-204473","ōmpohuiā.","ōmpohuiā.","tlach3.","1. nic. Macehualli quipanoltia tixtli tlen tlatlacuechtic ome o miac hueltah pan metlatl. “Nonanan axquiamati quen quiza tixtli pan molinoh huan yeca ya quiompohuia pan imetl. ” 2. nic. Macehualli zampa tlamehua zo pixca millah. “Javier quiompohuia campa tlameuhqui iicniuh tlen cuecuetztzin pampa ayicanah quichihua cualli itequiuh. ”","# nic. Una persona vuelve a moler la masa lo que esta nada mas martajado. “Mi abuela no le gusta la masa como sale en el molino y por eso lo vuelve a moler en su metate“.","","1. to re-grind lumpy corn dough two or more times on the grinding stone. 2. to re-weed or re-harvest a field.","ōmpa, huiā1.","IDIEZ"
"WHP-204474","yōltoc.","yōltoc.","","Xiquitta YŌLI. ","# 1. Persona, animal domestico y animal silvestre que ya casi estaba muerto  y revivió. “el abuelo de Karla  revive porque lo cuidaron bien.” 2. Hierba que ya se estaba secando y revivió porque llovió.  “ese frijol ya se iba secando y revivió  porque llovió.” ","","See YŌLI.","","IDIEZ"
"WHP-204475","tlahcuilōlli.","tlahcuilōlli.","tlat.","Tlahtolli tlen quitlatzquiltihtoc macehualli pan ce amatl. “Ne tlahcuilolli tlen quichihchitoc Raul tlahuel yehyectzin. ”","","","s.t. written.","tla1, ihcuiloā (tlachiuhtli).","IDIEZ"
"WHP-204476","pannēxtiā.","pannēxtiā.","tlach3.","nic. Macehualli quitlateilhuia ceyoc tlen quichiuhqui ce tlamantli axcualli. “Norma quemman mocualanih Martha quipannextih pampa quiilqui itatah yahqui tlaixpiyato huan axquimacauhtoya. ”","# 1. Persona acusa a otro lo que no ha hecho bien. ”Norma cuando se enojo con Martha la acuso con su papa porque le dijo que fue al baile y no la habían dado permiso.” 2. persona que dice una cosa para que oigan otros. “cuando en mi rancho hay un problema martín lo sabe y nadie lo acusa quien lo hizo.”","","to denounce s.o.","pannēci, tiā1.","IDIEZ"
"WHP-204478","īxnēxtiā.","īxnēxtiā.","tlach3.","niqu. /nimo. Macehualli quipanquixtia ce acahya, ce tecuani, ce tlapiyalli zo ce tlamantli tlen axcanah neci pampa miac itztoqueh zo eltoc huan tlahuel echcapantzin. “Carla quiixnextia ne yoyomitl ica ce iloh tlen ceyoc itlachiyaliz pampa axcanah neciyaya canica iixco. ”","# nic/nimo. Una persona le enseña a otro, un animal silvestre, un animal doméstico o una cosa que no se ve porque hay mucho y muy bajitos. “Victor le enseña a su esposa en donde están sus anteojos porque cuando no lo trae puesto no ve bien”.","","to distinguish or make stand out s.o. or s.t.","īxnēci, tiā1.","IDIEZ"
"WHP-204479","zohzōhua.","zohzōhua.","tlach2.","nitla. Macehualli quimehmelahua ce tlamantli patlactic canahya. “Ica tlayohuaya Ana ya tlazohzohuaz pampa yalhuaya na nitlazohzouhqui. ” ","","","to extend flat things on a surface.","zōhua1 (tlaomp. )","IDIEZ"
"WHP-204480","ōctiya.","ōctiya.","tlach2.","Mopanotiyohua tzopelic ohuaatl huan pehua eli tzitzicaztic zo achi chichic. “Ne ohuaatl octiyaya pampa yehuahcauhya quipatzqueh huan axquimoloniah. ”","A. Ya se está sobrepasando de dulce el agua de caña y empieza a hacerse amargo. “Aquella agua de caña se está echando a perder porque ya tiene rato que lo exprimieron y no lo hirven. B. Ya se está perdiendo lo dulce de la caña. ","","to ferment.","ōctli, ti1, ya1.","IDIEZ"
"WHP-204481","tepāmitl.","tepāmitl.","tlat.","Tetl tlatecpicholli tlen pan tlachicuenia macehualli cihuatl. “Ne tepamitl axcualli quichihchiuhtoqueh huan hueloniz quemman tlatemiz. ”","","","a platform of stacked stones for washing clothes.","tetl, pāmitl.","IDIEZ"
"WHP-204482","tzacualli.","tzacualli.","tlat.","Ce canahya tlapanico zo tlatolonco zan ica tetl; quemmantica tepahtihquetl quichihua zo quimahcahua ce tlamantli tlen campeca. “Ne pan tzacualli ce tiotlac monextia ce hueyi mazacoatl. ”","","","mound or small hill of rocks where ceremonies are sometimes done.","tzacua (tlachiuhtli).","IDIEZ"
"WHP-204483","cuānehnehuiliā.","cuānehnehuiliā.","tlach3.","nic. Macehualli quitequihuia itzontecon quemman quinequi quixitlahuaz ce cualantli. “Na niccuanehnehuilia miac queniuhqui nipehuaz nitlamachtiz pampa tlahuel tlallamiquih nomomachtihcahuan. ”","	A. nic. Una persona usa su cabeza cuando quiere resolver un problema. “You uso pienso mucho de como voy a empezar a dar clases” 	B. pensar ","","to think about how to solve a problem.","cuāitl, nehnehuiliā.","IDIEZ"
"WHP-204484","pātzca.","pātzca.","tlach1/2.","1. nic. Macehualli quimahmatzoa alaxox, ilimon zo naranhachinah para ma quiza iayo, zo yoyomitl tlen xolontoc para ma pilini quentzin. “Ofelia quemman quipatzca alaxox moahaloa nochi pampa tlaalpichia huahca. ” 2. nitla. Macehualli quicalaquia ohuatl pan molinoh huan quiza iayo. “Angela itatah tlapatzca pampa nochi chicauhquiya iohuauh. ”","# 1. Nic. Una persona exprime una naranja, limón y naranjachina para que salga su jugo, o ropa mojada para que se seque un poquito. “Ofelia cuando exprime una naranja se embarra toda la mano porque salpica lejos”. 2. Nitla. Una persona hace que un animal doméstico camine porque quiere que le de vueltas al palo donde pasa la caña. “Ángela su papá muele porque ya todo ensazonó su caña”. ","","1. to squeeze fruit or wring out wet clothing. 2. to mill sugarcane.","","IDIEZ"
"WHP-204485","yacahuitztic.","yacahuitztic.","quen.","Cuahuitl, acoxah zo cochiyoh tlen yacapitzactzin. “Victorina axcanah quicahuah ma quinechcahui cochiyoh pampa yacahuitztic huan hueliz quicomichoa. ”","# Palo, aguja, y cuchillo que tiene una punta delgada y peligrosa para que le halle a alguien. “Victorina le dijo a su hijo, no acerques ese cuchillo porque está muy puntiaguda y tal ves te punzara”. ","","sharp point.","yacatl, huitztic.","IDIEZ"
"WHP-204486","tōpīleh.","tōpīleh.","tlat.","ni. Macehualli tlen calnehnemi cehcen techan tlen ce pilaltepetzin huan quinmatiltia macehualmeh para mocentilizceh. “Yalhhuaya calnehnenqui ce topileh; hueliz panoc ce tlamantli cualantli canahya. ” ","","","community official who goes from house to house calling people to a community meeting.","tōpīlli, eh.","IDIEZ"
"WHP-204487","cuatōpīlli.","cuatōpīlli.","tlat.","Ce cuahuitl achi zancualtzin huan achi pitzactzin tlen quipalehuia macehualli tlen huextic ica nehnemiz. “Notatah yahqui quitemoto ce cuatopilli ahuayoh tlen quitequihuiz nototatah pampa tlen quipiya palanquiya. ”","","","wooden cane.","cua, tōpīlli.","IDIEZ"
"WHP-204488","petlatl.","petlatl.","tlat.","Ce tlenhueli tlachihchihualli ica apachtli tlen pan cochi macehualli. “’Xicmimilo ni petlatl tlen pan ticochqui. ’”","","","sleeping mat made from palm leaves.","","IDIEZ"
"WHP-204490","iyatl.","iyatl.","tlat.","IYA-TL. tlat. Ce tlamantli tlen xihuitl huactoc macehualli quichichina huan quiquixtia poctli. Ej. Ni iyatl tlawel chicahuac teihyoquechia miac ","","","1. tobacco. 2. cigarette.","","IDIEZ"
"WHP-204491","tlaōyalli.","tlaōyalli.","tlat.","Pilcintzin tlen ayoccanah tlatzquitoc pan ioloyo. “Nopa quemman quipiya miac cintli tlaoyalli yohui connamaca Chicon. ”","","","kernels of corn that have been removed from the cob.","tla1, ōya (tlachiuhtli).","IDIEZ"
"WHP-204492","tlaōxtli.","tlaōxtli.","tlat.","Pilcintzin tlen ayoccanah tlatzquitoc pan ioloyo. “Chan Araceli quipiya miac cintli tlen tlaoxtli huan queuhquinon axcanah ohuih quinamaca. ”","","","kernels of corn that have been removed from the cob.","tla1, ōya (tlachiuhtli).","IDIEZ"
"WHP-204493","nemiliztli.","nemiliztli.","tlat.","1. Nochi tlen quipantia macehualli, tecuani zo tlapiyalli quemman yoltoc. “Momachtianih ininnemiliz tlahuel ohuih pampa axquipiyah tomin huan quintlahtlaniliah miac tequitl inintlamachtihcahuan. ” 2. Tlen cualli huan tlen axcualli quichihua macehualli. “Armando inemiliz tlahuel axcualli pampa ce tlayohua tlaichtequi. ”","","","1. life. 2. conduct.","nemi, liz.","IDIEZ"
"WHP-204495","tlatōctli.","tlatōctli.","tlat.","Tlamantli iyollo cuatlacquetl tlen ce macehualli quitlalpachtoc pan ce milli. “Icuayo cuaxilotl huahcauhquiya tlatoctli huan yeca naman axmero quinequiyoc eliz. ”","","","a planted seed.","tla1, tōca2 (tlachiuhtli).","IDIEZ"
"WHP-204497","huatāniā.","huatāniā.","tlach3.","nic. Macehualli quitotoxoa pan tlalli ce tlamantli zo ce tlapiyalli. “Andres quihuatania ipitzo pampa axtetic huan quitlani. ”","	A. nic. Una persona lo arrastra en la tierra una cosa o un animal. “Andrés lo arrastra su puerco porque no tiene fuerza”. 	B. arrastrar a alguien. ","","to drag s.t.","huatāni, iā1.","IDIEZ"
"WHP-204498","pītza.","pītza.","tlach2.","nic. Macehualli quiquixtia iihyo pan cuacuauhtli, acatl zo xochipahpatla huan caquizti yehyectzin. “Mecoz quemman ahcihya pan ce pilaltepetzin pehuah quipitzah cuacuauhtli pampa quinequih ma quincaquican macehualmeh. ”","# una persona saca su aire en el cuerno de la vaca, carrizo, flor de pahpatlte para que se escuche bonito. “cuando ya llegan los disfrazados en un rancho empiezan a sacar aire para que los escuchen que ya llegaron”.","","to play a wind instrument.","","IDIEZ"
"WHP-204499","pilconētzin.","pilconētzin.","tlat.","Macehualli tlen ontlacati. ""Nohuez mocualtlalih yalhuaya huan naman tlahuel yolpactoc pampa quipiya ipilconeuh. ”","","","newborn baby.","pīl, conētl, tzin.","IDIEZ"
"WHP-204500","tepotztatahtli.","tepotztatahtli.","tlat.","no. Macehualli inanan itetah tlen axcanah quitlacatilih. “Ne notepotztatah tlahuel axcanah quinequi tequitiz huan tlahuel nechahhua mohmoztlah. ”","","","s.o.’s stepfather.","tepotztli, tatahtli.","IDIEZ"
"WHP-204501","tēnān.","tēnān.","tlat.","1. Macehualli cihuatl tlen quipiya miac xihuitl. “Ne tenan tlahuel mococoa huan ayoccanah hueli panquiza icelti. ” 2. no. Macehualli tlacatl icihuauh. “Armando itenan axmahmahui pampa yohui millah icelti. ”","","","1. old woman. 2. wife.","tē2, nāntli.","IDIEZ"
"WHP-204502","huēhueh.","huēhueh.","tlat.","1. no. Cihuapil itiotah. “Vanesa ihuehueh tlahuel mocuezoa pampa micqui icihuauh. ” 2. no. Cihuatl itioconeuh oquichpil. “Nooquichpil nochipa conitta icihuauh, huan ya yeca tlahuel quiicnelia ipilhuehueh. ” 3. no. Macehualli cihuatl itetah. “Maria ihuehueh tlahuel yopaqui pampa yehyectzin tlaelqui imillah. ”","","","1. godfather of a woman. 2. godson of a woman. 3. s.o.’s husband.","huēhuēti, cā.","IDIEZ"
"WHP-204503","tlanēhui.","tlanēhui.","tlach2.","1. nic. Macehualli conitta ceyoc para ma quipalehui pan itequiuh. “Julio nochipa contlanehui notlayi ma quipalehui pixca huan teipan ya quipalehuia. ” 2. nimo. macehualli quitlahtlanilia ce tlamantli ceyoc huan teipan quicuapilia. “Sabina motlanehui pahtli para quipolihuiltiz itlatlaciliz, pampa ayoccanah quiahxilih quicouhqui. ”","# 1. nic. Una persona lo a ver a alguien para que lo ayude con un trabajo, y le paga o le regresa con trabajo. “Mi papá siempre va a ver mi tío para que le ayude a sacar maíz y después él le va a ayudar”. 2. nimo. Una persona pide prestado una cosa y después se lo regresa. “Sabina pide prestado medicamento  para se le quite la tos, porque no alcanzo comprarlo”.","","1. to hire s.o. or invite him or her to help out on a job. 2. to borrow. ","tla1, nēhui.","IDIEZ"
"WHP-204504","tlanēhuiliā.","tlanēhuiliā.","tlach3.","nic. Macehualli quitlahtlanilia ce tlamantli ce acahya huan teipan quicuapilia. “Manuel quitlanehuilia tlamachtihquetl itepoz tlen ica tlaixcopinaz. ","# nic. Una persona le pide prestado algo a otro y después se lo regresa. “Manuel le pide prestado dinero al maestro”.","","to borrow s.t. from s.o.","tlanēhui, liā2.","IDIEZ"
"WHP-204505","tlamanyānco.","tlamanyānco.","tlap.","Canahya campa axcanah tlaixtemolez. “Nopa axquinequi tocaz campa tlamanyanco pampa tlahuel momana atl. ”","","","flat terrain.","tlamanyān, co2.","IDIEZ"
"WHP-204506","telecza.","telecza.","tlach1.","nic. Macehualli, tecuani zo tlapiyalli quitehuia ceyoc zo ce tlamantli ica iicxi. “Mariano quiteleczac cahuayoh, naman axhueli nehnemi pampa quicocoh pan imetz. ”","A.  Persona, animal silvestre y mascota le pega a otra con su pie. “ Mariano pataleo su caballo, ahora no puede caminar porque tiene grano en la perna.”","","to kick s.o., an animal or s.t.","","IDIEZ"
"WHP-204507","cuitlatzayāni.","cuitlatzayāni.","tlach2.","Ce tlamantli folzah zo coxtalli moohtia inacaztlan zo tlatlahco pampa tlahuel temitoc huan xoyahui tlen eltoc ihtico. “Alfredo icoxtal cuitlatzayanqui pampa yamanic eliyaya huan nelquitemitihqueh ica etl. ”","	A. Una cosa que está lleno y ya no aguanta lo que tiene y se tira de lo que tiene adentro. “Alfredo su costal lo tiró porque lo llenó de piedra2. 	B. se rumpio algo.  ","","for a full bag to split.","cuitlatl, tzayāni.","IDIEZ"
